"status","relative_path","old_sha256","new_sha256"
"added","DolocTown\Config\Equipment\ItemPlaceConditionInfo.cs","","3E70D1598F3BF3E8D4608D0D02DAF9BDC26A8B958995A0D7011681A1A84DBE98"
"added","DolocTown\Config\Equipment\TbItemPlaceCondition.cs","","4CC7C5D81600087BAAD89202B8558D9981E0742D51691E41C98052C8198B0901"
"changed","DolocTown\AgentRenderer.cs","A6818C41BDAD9DD920210E14FCADA452B818D8E4181BD61346852275BD61B21E","14CD01479EF39B995D6F2D9387BD30BA6EBB92AC171EFF225A9BEF0AF94DF431"
"changed","DolocTown\AutomateBotStation.cs","0721B25344EDD34636C6E748BBB9AD801ED75A31122C188416F679FEEA2C37C7","86CB61237ED185ED8A5D698355093E9A2AEBA65BF71F8B1044C4E6CFE75F8FFD"
"changed","DolocTown\Case.cs","EF58345F9B7198B232047A9E8F60863A68C04F1A94CC30F6A0326C5DA12D76D0","1CAC146C78D989711E3940CBCBAF01A9629A0E17543EAC8B11BCD3897E41DA06"
"changed","DolocTown\CharacterRenderer.cs","C5F2B8B7980CE9037F9174C181FB111C96CBF0271B54E026FD1F617C62E1A45F","9E35AD898CB0D81CD024A4370879A0D81C0C83D3AC0D7D1720FA1AB636FC2A3D"
"changed","DolocTown\Config\Equipment\EquipmentFuncCase.cs","F3B45B15FEC69A8F15B495EC1978B43916327B8EF00F2ED24B7610AA2BA3D311","E5084FB00EA7799182610535AE55B598354B44089915E755CC107597584091C0"
"changed","DolocTown\Config\Localization\StaticTextInfo.cs","584039DC39F3C99127A0A297237750B699F20458882E49DF37192B1E68EF5A41","2B10893A908FA275278F78AD2316DC0F0C51DFACC5FF7BF6790539B45C19CE8F"
"changed","DolocTown\Config\Localization\TbStaticText.cs","9A8882730F74D48E34B62EDAA2F6AD1171F3F9FDCB815C95A5788BA7B553353B","E531D23A52178CE35C130DB3B772F38064CEAC65A014E158C409017EF10DBB1E"
"changed","DolocTown\Config\Recipe\RecipeSubTypeInfo.cs","0F028D6B11827B91D310478DF8AAC26F3F008C5FD668D4133E41618D48B6E18F","8C2F612DFDB15D936CAE4EA006662E490450952A276963E5FCE7B10CE89FC8CC"
"changed","DolocTown\Config\Recipe\TbRecipe.cs","E7BEB3E03BD13EE2037C2AD066438F7ED825257A17E52406C8992A617D28D178","267DDC5B0BCD05320483B857836298274C3A8B7D8EBEBE07F782C3E2FCEFC993"
"changed","DolocTown\Config\Tables.cs","00D40FFC938D0A91766D0982EA63082CC6832DC8B242AD882264EE4EC2A4E14B","70D371DD894A9D256E90AAD737587BBAD3B9CBD3908F4544B46E5FF63C5C3F4D"
"changed","DolocTown\CropGeneFunctionAerialRoot.cs","3CDCFD0AFB1E301813AF6C2EA4EC62E9878A1769E4265F5CCA12E5ACF758C508","CA354D39C9FA514F299A1C06CB9275EE12FD25623579A8394020907E52177312"
"changed","DolocTown\CropGeneFunctionCharge.cs","8BC272A9FACD11E238F379B31CA169409C8BD186AEDFCF02935D169B657877A2","6AC6D33181161599878D7AF5871E2CECD88EA3D81497E6A8F8DCC3680C764248"
"changed","DolocTown\CropGeneFunctionConiferLeaf.cs","877174419BF2CEB2BDCABC7A58C0CE855DD14383D8716DB10217C41168A92CA8","4D1A8215B4660B89908B8DFD34C55413182F364AF521687964DCA76CD9039562"
"changed","DolocTown\CropGeneFunctionFertilityEnhance.cs","226C59E7D7893B562B4F4E2A40AE8A3EA06BDBA7199E366CFD4E245D47EA315E","9212A614211E507CB438D3D6EE7EB5C85D7AF44BB51D809F94F2F0564C17527D"
"changed","DolocTown\CropGeneFunctionFirefly.cs","584603EB2F17825403101396004ACBBF6C0CF24448E3B684616712D64543C282","946B02B6A69EAECEF98197CE8F88B0E051B7AC7E7343521E0F6022A49F9F249C"
"changed","DolocTown\CropGeneFunctionHanabi.cs","4A816F341A7C2F75062AA4A77C975A3DF0218A6CDCE22EFF02F3274001B984C3","F03A612E4F1B6A12CF272DA0A32FC0F9329263E23EDEF53F7ACAC74979039A7C"
"changed","DolocTown\CropGeneFunctionHope.cs","4C86D0F4A3370DDBAE6054BA2F3C955D1A96744B790FBCE168F286C398B04F19","D47C4834D62DF3B19DDD15BB65533D9695ED52EBA1727F1AC487CE342559A6FF"
"changed","DolocTown\CropGeneFunctionParasite.cs","4F7CE959D26F3EE1717138D80B4FB576CC33466B3804FBDFEABFCD556EFD10B2","8C514FFFD51572799FBCF103C7FCF537A71AED22BDEE602A8D72C2E4A373FF13"
"changed","DolocTown\CropGeneFunctionSporeSpray.cs","0A5C020EA2266B725842710B4EF5F4446D2A31FC342DBEE923E6985BF3B0F91E","F7AA463F19E8C381A65752CFFAC43757E2700E579F4A634F4182DAED512010DC"
"changed","DolocTown\CropGeneFunctionSprinkler.cs","40AC16D95F3D68D9DE318DC3ADB333ED2B717A03EFCE7E2A8E3EFC631E895D6B","6C2AFEF409783C179137FEDDEF87EE90C24D150A6D9842AB6A6CB84E4C267A46"
"changed","DolocTown\CropGeneFunctionSymbioticSupply.cs","B9510E3E11BA4FB8E941438E38A8A700A0F2CA0183140084913C2C7256F67BA8","DC4BA31B988584E3F6BD19805A2C1F9393D98C4596F037DDF5E246C6AB8550E4"
"changed","DolocTown\CropGeneFunctionTimeGift.cs","51BFBF0AFFC4D83F5CD08D452338F1F3D51BD7C8184DB1D9A743B71CE25579FC","B0533D7866BFF40C10720F7A9C275182BF4BEB3D2DDA94203A40263B2DFE0DAA"
"changed","DolocTown\CropGeneFunctionWindSow.cs","BA55AA6C7F1034C47420269E33CB62D645901340E09165A6D976D4925E8C45DB","FAF9CB8D01F2C2D729980D0D5CBF247588A62C80DBC6928DA9E627A038E97E05"
"changed","DolocTown\Equipment.cs","1F2119A54736A51E49BF36BDDB1FF2AD047EBAA45E31E3CCB8036111D0EA802A","B30A18FDD293D1B586369C9BF361B7C2F422D87F522A00DB47A65547D0248FB0"
"changed","DolocTown\FarmCaseUiState.cs","9FD58AADF4BEB5C58B1377289343170EC45024B8B816AF05ACA02B28ADD00518","154250311CA328068610AE59029EA037AE48BF95CC343EBDB8CB501AD7D9A8EA"
"changed","DolocTown\Item.cs","6699A7BF9A0D051E94CE6AF2F735AE0FB927C88CFC54102BADE4658976FF9363","76C022C79BADCFDB9B283EAFD2CBEC2387C1EC77E9A3AC061B998868B17D1203"
"changed","DolocTown\ItemEquipment.cs","55E7845FB3569ECCB08A932B191FF6144DE444700C8BF4693A2552E31F9FED9D","0B755716636F205434A399CEDF6CE6B690ECAAB13AB31886C795BBCD341FDB9C"
"changed","DolocTown\LightPatch.cs","776A4B640B06BE8D6BF2E2B6E46AF621DF92313EF8474B22898AC5037308969F","476E264B3921FE37A28044696D086DD57DCEF35460254C7715E6346729F25C74"
"changed","DolocTown\LinearInventory.cs","871713DD7219B87E9BABA746653318588D71F914C69EB3FC6249853FA4B67250","8E80698E1DE9242493934B99D0F99CB94EDC5429280CBD7F8D2B94C269B42CF4"
"changed","DolocTown\NpcRenderer.cs","E2BE79279B7A26526BD81AEF5E8D9EC41E925717C019B5C76C7834DC6467BB8E","A3939CB65449731012B2E78B11FA7C66595F1B76612A2F818B8EBC9A9CB2F21E"
"changed","DolocTown\VersionPatchFunctions.cs","DA2758C85A93FA45E5877287DF1C5E5BB0E7D601B84E802C120EB08694483169","8D1F967A35B8F621428C645CFDEEDB9486DEE3D5D0EC1A0DA61C761C94AD82F6"
