资源	掉落库ID
资源
生活垃圾	waste_garbage_drop
小机械残骸	machine_bing_drop
纸盒	paper_box_drop
种子盒	seed_box_drop
废品堆	large_machine_bing_drop
废弃置物架	waste_furniture_drop
仿生蜂巢	bee_drone_drop
车辆残骸	waste_car_drop
沙堆	sand_drop
土堆	soil_drop
岩石堆	stone_drop
大岩石堆	big_stone_drop
煤矿	coal_mine_drop
铜矿	copper_mine_drop
铁矿	iron_mine_drop
湿地土堆	soil_drop
金矿	gold_mine_drop
杂草_0	weeds_drop_lv1
杂草_1	weeds_drop_lv1
杂草_2	weeds_drop_lv1
杂草_3	weeds_drop_lv2
野花_0	weeds_drop_lv1
野花_1	weeds_drop_lv1
野花_2	weeds_drop_lv1
野花_3	weeds_drop_lv2
芦苇_0	weeds_drop_lv1
芦苇_1	weeds_drop_lv1
芦苇_2	weeds_drop_lv2
芦苇_3	weeds_drop_lv2
苜蓿草_0	alfalfa_drop_lv1
苜蓿草_1	alfalfa_drop_lv1
苜蓿草_2	alfalfa_drop_lv2
野荆棘_0	thorns_drop_lv1
野荆棘_1	thorns_drop_lv1
野荆棘_2	thorns_drop_lv2
野荆棘_3	thorns_drop_lv3
树木_0	tree_drop_lv1
树木_1	tree_drop_lv2
树木_2	tree_drop_lv2
树木_3	tree_drop_lv3
树木_4	tree_drop_lv3
岩树_0	stone_tree_drop_lv0
岩树_1	stone_tree_drop_lv1
岩树_2	stone_tree_drop_lv1
岩树_3	stone_tree_drop_lv2
岩树_4	stone_tree_drop_lv2
岩树_5	stone_tree_drop_lv3
岩树_6	stone_tree_drop_lv3
岩树桩	stone_tree_drop_lv1
竹子_0	bamboo_drop_seed
竹子_1	bamboo_drop_lv2
竹子_2	bamboo_drop_lv2
竹子_3	bamboo_drop_lv2
竹子_4	bamboo_drop_lv2
红树_0	mangrove_drop_lv0
红树_1	mangrove_drop_lv1
红树_2	mangrove_drop_lv1
红树_3	mangrove_drop_lv1
红树_4	mangrove_drop_lv1
红树_5	mangrove_drop_lv1
植被（可采集）
蓝莓丛	berry_drop
磷虫草	psinensis_drop
endyam	endyam
succulent	succulent
植被（纯装饰）
dandelion	weeds_drop_lv1
glow_cattail_s	weeds_drop_lv1
glow_cattail_l	weeds_drop_lv1
fluor_grass_s	weeds_drop_lv1
fluor_grass_l	weeds_drop_lv1
tree_root	weeds_drop_lv1
water_grass	weeds_drop_lv1
cave_grass	weeds_drop_lv1
lotus_leaf	weeds_drop_lv1
lotus_flower	weeds_drop_lv1
cave_mushroom	weeds_drop_lv1
fresh_stem	weeds_drop_lv1
hay_stem	weeds_drop_lv1
moss_tree	weeds_drop_lv1
